Column1,Column2,Column3
青蛇,徐克 Hark Tsui,570129
爱乐之城,达米恩·查泽雷 Damien Chazelle,1040631
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,368234
初恋这件小事,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010",1027614
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,659576
白日梦想家,本·斯蒂勒 Ben Stiller,592416
雨人,巴瑞·莱文森 Barry Levinson,430328
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,482800
新龙门客栈,李惠民 Raymond Lee,485510
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,527404
真爱至上,理查德·柯蒂斯 Richard Curtis,784948
虎口脱险,杰拉尔·乌里 Gérard Oury,282159
崖上的波妞,宫崎骏 Hayao Miyazaki,548015
title,director,ratings
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,723553
罗生门,黑泽明 Akira Kurosawa,343028
千钧一发,安德鲁·尼科尔 Andrew Niccol,330855
大红灯笼高高挂,张艺谋 Yimou Zhang,338194
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,648612
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,616568
哈利·波特与凤凰社,大卫·叶茨 David Yates,658216
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,437841
火星救援,雷德利·斯科特 Ridley Scott,798207
萤火虫之墓,高畑勋 Isao Takahata,427380
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,584111
战争之王,安德鲁·尼科尔 Andrew Niccol,399727
步履不停,是枝裕和 Hirokazu Koreeda,308020
千年女优,今敏 Satoshi Kon,301982
血钻,爱德华·兹威克 Edward Zwick,408211
谍影重重2,保罗·格林格拉斯 Paul Greengrass,382266
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,727878
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,299742
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,389942
弱点,约翰·李·汉考克 John Lee Hancock,342358
谍影重重,道格·里曼 Doug Liman,465611
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,252201
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,769429
哪吒之魔童降世,饺子 Yu Yang,2006533
朗读者,史蒂芬·戴德利 Stephen Daldry,477681
